Y	X	value
1	1	0
1	2	2
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	2
1	11	2
1	12	2
1	13	0
1	14	2
1	15	2
1	16	2
1	17	2
1	18	2
1	19	0
1	20	0
1	21	2
1	22	2
1	23	2
1	24	0
1	25	2
1	26	0
1	27	0
1	28	2
1	29	0
1	30	2
1	31	0
1	32	0
1	33	2
1	34	2
1	35	0
1	36	0
1	37	0
1	38	2
1	39	2
1	40	0
1	41	2
1	42	2
1	43	0
1	44	0
1	45	0
1	46	0
1	47	0
1	48	2
1	49	2
1	50	0
1	51	2
1	52	2
1	53	0
1	54	0
1	55	2
1	56	2
1	57	2
1	58	2
1	59	2
1	60	2
1	61	0
1	62	0
1	63	2
1	64	0
1	65	2
1	66	2
1	67	0
1	68	0
1	69	0
1	70	2
1	71	2
1	72	0
1	73	2
1	74	2
1	75	2
1	76	2
1	77	2
1	78	2
1	79	2
1	80	0
1	81	0
1	82	0
1	83	2
1	84	0
1	85	0
1	86	0
1	87	0
1	88	2
1	89	2
1	90	2
1	91	2
1	92	2
1	93	0
1	94	0
1	95	2
1	96	2
1	97	2
1	98	2
1	99	0
1	100	2
1	101	0
1	102	2
1	103	0
1	104	2
1	105	2
1	106	2
1	107	0
1	108	0
1	109	0
1	110	2
1	111	2
1	112	2
1	113	2
1	114	2
1	115	2
1	116	0
1	117	0
1	118	2
1	119	0
1	120	2
1	121	0
1	122	0
1	123	2
1	124	0
1	125	0
1	126	2
1	127	2
1	128	0
1	129	2
1	130	2
1	131	2
1	132	0
1	133	0
1	134	0
1	135	2
1	136	0
1	137	2
1	138	0
1	139	0
1	140	0
1	141	0
1	142	0
1	143	2
1	144	2
1	145	0
1	146	0
1	147	2
1	148	0
1	149	2
1	150	2
1	151	0
1	152	2
1	153	0
1	154	2
1	155	2
1	156	0
1	157	0
1	158	0
1	159	0
1	160	0
1	161	0
1	162	0
1	163	2
1	164	2
1	165	0
1	166	2
1	167	0
1	168	0
1	169	0
1	170	0
1	171	2
1	172	0
1	173	2
1	174	2
1	175	2
1	176	2
1	177	0
1	178	2
1	179	2
1	180	2
1	181	2
1	182	0
1	183	0
1	184	0
1	185	0
1	186	0
1	187	2
1	188	2
1	189	0
1	190	2
1	191	0
1	192	2
1	193	2
1	194	0
1	195	0
1	196	2
1	197	0
1	198	2
1	199	0
1	200	0
1	201	2
1	202	2
1	203	2
1	204	2
1	205	0
1	206	0
1	207	2
1	208	0
1	209	0
1	210	0
1	211	0
1	212	0
1	213	2
1	214	0
1	215	2
1	216	0
1	217	2
1	218	2
1	219	0
1	220	0
1	221	2
1	222	2
